"number";"r n*100";"i n*100"
1;80;0
2;77.9417;0
3;79.4799;0
4;80.6095;0
5;79.029;0
6;81.2887;0
7;79.0685;0
8;80.3706;0
9;79.1759;0
10;80.0548;0
11;80.4636;0
12;79.5238;0
13;81.3662;0
14;78.5416;0
15;80.6626;0
16;80.9017;0
17;78.8507;0
18;79.7648;0
19;78.3472;0
20;79.0565;0
21;80.1513;0
22;80.4548;0
23;79.9998;0
24;82.3375;0
25;79.7142;0
26;80.3858;0
27;81.2494;0
28;80.3724;0
29;80.5385;0
30;80.4457;0
31;78.8749;0
32;79.8082;0
33;80.7249;0
34;79.5995;0
35;77.7361;0
36;80.8243;0
37;79.566;0
38;78.3338;0
39;79.477;0
40;79.2996;0
41;80.5351;0
42;81.8034;0
43;79.8907;0
44;81.0168;0
45;79.7227;0
46;79.351;0
47;80.3138;0
48;80.9429;0
49;81.3314;0
50;79.9642;0
51;79.6915;0
52;79.8684;0
53;78.0569;0
54;79.1283;0
55;80.2239;0
56;80.9992;0
57;79.6776;0
58;79.8741;0
59;82.6693;0
60;79.5513;0
61;79.1842;0
62;79.304;0
63;79.3336;0
64;79.3098;0
65;78.0666;0
66;79.1334;0
67;80.6788;0
68;80.9073;0
69;80.0512;0
70;80.6609;0
71;80.151;0
72;80.0481;0
73;81.201;0
74;79.8265;0
75;80.098;0
76;79.0671;0
77;80.3647;0
78;79.8016;0
79;79.1445;0
80;79.3588;0
81;80.0922;0
82;80.2415;0
83;80.5516;0
84;79.3948;0
85;80.2686;0
86;78.147;0
87;78.9231;0
88;80.8936;0
89;78.5185;0
90;78.9644;0
91;80.9051;0
92;79.5053;0
93;80.6897;0
94;79.9205;0
95;79.6566;0
96;79.3454;0
97;78.8585;0
98;79.3166;0
99;79.9161;0
100;81.2728;0
