"number";"r IL_meas";"i IL_meas"
1;0.5;0
2;0.660675;0
3;0.405785;0
4;0.357937;0
5;0.622535;0
6;0.372191;0
7;0.860011;0
8;0.510214;0
9;0.472804;0
10;0.660372;0
11;0.498572;0
12;0.329847;0
13;0.467241;0
14;0.523151;0
15;0.41203;0
16;0.766472;0
17;0.768991;0
18;0.533644;0
19;0.332459;0
20;0.293761;0
21;0.322014;0
22;0.574589;0
23;0.461137;0
24;0.49113;0
25;0.486575;0
26;0.621072;0
27;0.590465;0
28;0.587608;0
29;0.695231;0
30;0.493134;0
31;0.583858;0
32;0.457637;0
33;0.626966;0
34;0.601877;0
35;0.816353;0
36;0.408906;0
37;0.511519;0
38;0.471819;0
39;0.460308;0
40;0.331515;0
41;0.502223;0
42;0.572778;0
43;0.610564;0
44;0.639969;0
45;0.791732;0
46;0.627156;0
47;0.635444;0
48;0.728036;0
49;0.417938;0
50;0.460334;0
51;0.375641;0
52;0.572898;0
53;0.67032;0
54;0.570953;0
55;0.472372;0
56;0.445688;0
57;0.349989;0
58;0.421903;0
59;0.809384;0
60;0.490579;0
61;0.851168;0
62;0.391799;0
63;0.387165;0
64;0.354223;0
65;0.502694;0
66;0.50169;0
67;0.478992;0
68;0.519653;0
69;0.464707;0
70;0.43876;0
71;0.657849;0
72;0.587997;0
73;0.492873;0
74;0.542905;0
75;0.283251;0
76;0.531047;0
77;0.528928;0
78;0.485494;0
79;0.702914;0
80;0.543926;0
81;0.770644;0
82;0.365882;0
83;0.425111;0
84;0.476298;0
85;0.602075;0
86;0.583518;0
87;0.490646;0
88;0.662883;0
89;0.550417;0
90;0.45421;0
91;0.486255;0
92;0.734296;0
93;0.396995;0
94;0.543234;0
95;0.520505;0
96;0.806511;0
97;0.65047;0
98;0.664274;0
99;0.633256;0
100;0.301873;0
101;0.432986;0
102;0.633385;0
103;0.50706;0
104;0.37999;0
105;0.386313;0
106;0.785297;0
107;0.350271;0
108;0.407141;0
109;0.37782;0
110;0.414744;0
111;0.529796;0
112;0.582768;0
113;0.618465;0
114;0.440742;0
115;0.37986;0
116;0.498648;0
117;0.677692;0
118;0.576676;0
119;0.762525;0
120;0.545385;0
121;0.767377;0
122;0.506107;0
123;0.577588;0
124;0.808939;0
125;0.795685;0
126;0.392804;0
127;0.499362;0
128;0.465605;0
129;0.600703;0
130;0.573338;0
131;0.706014;0
132;0.49992;0
133;0.475225;0
134;0.558159;0
135;0.614242;0
136;0.394232;0
137;0.734371;0
138;0.553789;0
139;0.631632;0
140;0.521304;0
141;0.446185;0
142;0.459447;0
143;0.64118;0
144;0.54276;0
145;0.651076;0
146;0.33027;0
147;0.485771;0
148;0.716165;0
149;0.484903;0
150;0.503461;0
151;0.70481;0
152;0.593436;0
153;0.377552;0
154;0.875293;0
155;0.708117;0
156;0.341463;0
157;0.601519;0
158;0.394235;0
159;0.754882;0
160;0.809319;0
161;0.390472;0
162;0.647299;0
163;0.465412;0
164;0.638986;0
165;0.794121;0
166;0.454799;0
167;0.495323;0
168;0.779831;0
169;0.404871;0
170;0.561693;0
171;0.687155;0
172;0.749299;0
173;0.67934;0
174;0.391911;0
175;0.685251;0
176;0.42437;0
177;0.41729;0
178;0.668534;0
179;0.427627;0
180;0.436217;0
181;0.502061;0
182;0.582427;0
183;0.515665;0
184;0.380218;0
185;0.648961;0
186;0.288786;0
187;0.80995;0
188;0.562603;0
189;0.389669;0
190;0.429613;0
191;0.394087;0
192;0.66641;0
193;0.75883;0
194;0.442305;0
195;0.617965;0
196;0.643075;0
197;0.334639;0
198;0.441066;0
199;0.491486;0
200;0.483475;0
201;0.963782;0
202;0.95344;0
203;0.56496;0
204;0.516935;0
205;0.501592;0
206;0.551931;0
207;0.38738;0
208;0.601648;0
209;0.560662;0
210;0.465574;0
211;0.487862;0
212;0.461834;0
213;0.27733;0
214;0.600593;0
215;0.540819;0
216;0.470268;0
217;0.522947;0
218;0.470678;0
219;0.510408;0
220;0.460183;0
221;0.640911;0
222;0.485873;0
223;0.521941;0
224;0.320986;0
225;0.415068;0
226;0.535982;0
227;0.915379;0
228;0.707983;0
229;0.611379;0
230;0.503792;0
231;0.703978;0
232;0.326349;0
233;0.510664;0
234;0.433146;0
235;0.394781;0
236;0.670041;0
237;0.413267;0
238;0.329731;0
239;0.584388;0
240;0.524761;0
241;0.660384;0
242;0.413336;0
243;0.635017;0
244;0.397636;0
245;0.420648;0
246;0.694891;0
247;0.618922;0
248;0.40684;0
249;0.530386;0
250;0.463264;0
251;0.404017;0
252;0.663463;0
253;0.528402;0
254;0.660039;0
255;0.631567;0
256;0.429165;0
257;0.442546;0
258;0.396093;0
259;0.755656;0
260;0.474779;0
261;0.510356;0
262;0.404983;0
263;0.551542;0
264;0.38295;0
265;0.521492;0
266;0.500031;0
267;0.613754;0
268;0.78057;0
269;0.479134;0
270;0.747613;0
271;0.695607;0
272;0.790485;0
273;0.575449;0
274;0.618584;0
275;0.546718;0
276;0.311097;0
277;0.864944;0
278;0.57086;0
279;0.415405;0
280;0.630589;0
281;0.536864;0
282;0.773484;0
283;0.486891;0
284;0.585387;0
285;0.774423;0
286;0.5192;0
287;0.732994;0
288;0.338978;0
289;0.599801;0
290;0.50971;0
291;0.485661;0
292;0.469559;0
293;0.47551;0
294;0.371995;0
295;0.375886;0
296;0.314333;0
297;0.692889;0
298;0.527585;0
299;0.557264;0
300;0.591204;0
301;0.442643;0
302;0.361141;0
303;0.469075;0
304;0.53911;0
305;0.460323;0
306;0.639438;0
307;0.46695;0
308;0.750609;0
309;0.443261;0
310;0.550838;0
311;0.640047;0
312;0.451394;0
313;0.823007;0
314;0.480002;0
315;0.476785;0
316;0.44985;0
317;0.406354;0
318;0.397655;0
319;0.397946;0
320;0.949594;0
321;0.433745;0
322;0.454069;0
323;0.498065;0
324;0.331976;0
325;0.542956;0
326;0.520637;0
327;1.02462;0
328;0.61393;0
329;0.460765;0
330;0.306986;0
331;0.496591;0
332;0.333013;0
333;0.594601;0
334;0.418928;0
335;0.646659;0
336;0.438352;0
337;0.639149;0
338;0.452997;0
339;0.59674;0
340;0.523027;0
341;0.379753;0
342;0.644558;0
343;0.625571;0
344;0.492948;0
345;0.530355;0
346;0.442269;0
347;0.538683;0
348;0.392454;0
349;0.430744;0
350;0.455711;0
351;0.335851;0
352;0.610691;0
353;0.343507;0
354;0.590943;0
355;0.508393;0
356;0.397886;0
357;0.440021;0
358;0.642075;0
359;0.570039;0
360;0.375953;0
361;0.477295;0
362;0.474445;0
363;0.605261;0
364;0.324746;0
365;0.561886;0
366;0.650132;0
367;0.569841;0
368;0.321379;0
369;0.605332;0
370;0.839964;0
371;0.576755;0
372;0.463182;0
373;0.639162;0
374;0.428791;0
375;0.725501;0
376;0.332692;0
377;0.852374;0
378;0.588207;0
379;0.483123;0
380;0.434276;0
381;0.61053;0
382;0.328908;0
383;0.497013;0
384;0.306876;0
385;0.522656;0
386;0.615275;0
387;0.396518;0
388;0.915982;0
389;0.533183;0
390;0.457672;0
391;0.520396;0
392;0.45013;0
393;0.508352;0
394;0.534313;0
395;0.394558;0
396;0.832901;0
397;0.794857;0
398;0.374879;0
399;0.679386;0
400;0.349906;0
401;0.369821;0
402;0.682949;0
403;0.363242;0
404;0.486192;0
405;0.319439;0
406;0.554342;0
407;0.958797;0
408;0.566056;0
409;0.353525;0
410;0.398832;0
411;0.449374;0
412;0.564399;0
413;0.515897;0
414;0.611895;0
415;0.376952;0
416;0.455209;0
417;0.322659;0
418;0.557366;0
419;0.683989;0
420;0.394372;0
421;0.47645;0
422;0.646975;0
423;0.715804;0
424;0.425084;0
425;0.362561;0
426;0.500245;0
427;0.560888;0
428;1.21612;0
429;0.468027;0
430;0.342437;0
431;0.514337;0
432;0.602665;0
433;0.474767;0
434;0.67731;0
435;0.577383;0
436;0.509208;0
437;0.547326;0
438;0.574087;0
439;0.534924;0
440;0.345505;0
441;0.50752;0
442;0.51532;0
443;0.478011;0
444;0.627195;0
445;0.51787;0
446;0.520674;0
447;0.450307;0
448;0.429321;0
449;0.608887;0
450;0.691853;0
451;0.944166;0
452;0.662077;0
453;0.636949;0
454;0.434443;0
455;0.463841;0
456;0.383563;0
457;0.372986;0
458;0.389022;0
459;0.50163;0
460;0.3535;0
