"number";"r IL_meas";"i IL_meas"
1;1;0
2;0.8225;0
3;0.712554;0
4;1.51764;0
5;0.77659;0
6;1.34887;0
7;1.33094;0
8;0.719965;0
9;1.37078;0
10;1.32569;0
11;1.06857;0
12;1.131;0
13;1.07596;0
14;1.3004;0
15;1.14314;0
16;1.48948;0
17;0.945225;0
18;0.839449;0
19;0.822353;0
20;0.767455;0
21;1.02617;0
22;0.920793;0
23;1.71237;0
24;1.02862;0
25;1.31594;0
26;0.668761;0
27;0.999943;0
28;0.797755;0
29;1.18537;0
30;1.09803;0
31;1.04438;0
32;1.03752;0
33;1.19613;0
34;1.24473;0
35;1.14209;0
36;1.4577;0
37;0.719335;0
38;1.17405;0
39;0.957738;0
40;0.916649;0
41;1.10136;0
42;1.66316;0
43;0.725963;0
44;0.609175;0
45;1.21789;0
46;1.25884;0
47;1.03257;0
48;0.672831;0
49;1.36904;0
50;1.06983;0
51;0.882632;0
52;0.961767;0
53;1.05502;0
54;1.27726;0
55;0.881929;0
56;1.48413;0
57;0.654085;0
58;0.951111;0
59;0.979797;0
60;1.00133;0
61;1.16458;0
62;1.06725;0
63;0.948684;0
64;1.10862;0
65;0.664146;0
66;1.23086;0
67;0.716154;0
68;0.826834;0
69;1.27243;0
70;1.29297;0
71;1.01981;0
72;1.0164;0
73;1.67994;0
74;1.18938;0
75;1.53489;0
76;0.997657;0
77;0.805075;0
78;1.34927;0
79;1.76823;0
80;0.915713;0
81;0.875116;0
82;0.949004;0
83;0.838362;0
84;1.11058;0
85;1.09326;0
86;0.756123;0
87;0.844224;0
88;1.51273;0
89;0.938125;0
90;1.19796;0
91;0.884474;0
92;1.21822;0
93;1.14511;0
94;1.03115;0
95;1.10349;0
96;0.754514;0
97;1.84442;0
98;0.93194;0
99;0.873701;0
100;1.4956;0
101;0.924741;0
102;1.43605;0
103;1.11442;0
104;1.48043;0
105;0.782021;0
106;0.729381;0
107;1.59049;0
108;1.34111;0
109;1.01753;0
110;0.807531;0
111;0.902664;0
112;0.728217;0
113;1.37983;0
114;0.817579;0
115;1.05848;0
116;0.616114;0
117;0.667137;0
118;1.11415;0
119;1.06696;0
120;1.10195;0
121;1.42836;0
122;1.03297;0
123;0.950595;0
124;0.633941;0
125;0.94006;0
126;0.944377;0
127;0.819362;0
128;0.790365;0
129;1.02723;0
130;1.43044;0
131;1.19386;0
132;0.878375;0
133;1.31597;0
134;1.4258;0
135;0.639358;0
136;1.56808;0
137;0.709407;0
138;0.668324;0
139;1.34497;0
140;1.22283;0
141;0.683963;0
142;0.816422;0
143;1.11753;0
144;0.669605;0
145;1.10735;0
146;1.22648;0
147;0.89505;0
148;0.715628;0
149;1.03839;0
150;1.21657;0
151;1.1531;0
152;0.936171;0
153;0.978761;0
154;1.46301;0
155;0.955619;0
156;0.768129;0
157;1.05763;0
158;1.02753;0
159;1.12032;0
160;0.885492;0
161;1.31769;0
162;0.706901;0
163;0.874903;0
164;0.927306;0
165;0.751773;0
166;1.45581;0
167;0.903748;0
168;0.966557;0
169;1.26264;0
170;1.10552;0
171;1.12534;0
172;1.11449;0
173;1.18497;0
174;0.995652;0
175;1.11442;0
176;0.993149;0
177;1.06774;0
178;1.12895;0
179;0.75377;0
180;0.804156;0
181;0.93291;0
182;0.759804;0
183;1.42876;0
184;0.865992;0
185;0.988803;0
186;1.00069;0
187;1.30403;0
188;0.979146;0
189;1.33186;0
190;0.938759;0
191;0.695171;0
192;0.872008;0
193;0.733228;0
194;1.99374;0
195;0.780823;0
196;0.739656;0
197;0.940875;0
198;0.617348;0
199;1.06588;0
200;0.890187;0
201;1.04718;0
202;1.20614;0
203;0.859702;0
204;1.59147;0
205;1.28739;0
206;1.25595;0
207;0.930253;0
208;1.26418;0
209;1.66124;0
210;0.968321;0
211;0.889101;0
212;1.14581;0
213;1.15139;0
214;0.863865;0
215;0.836852;0
216;0.845807;0
217;1.1358;0
218;1.77319;0
219;0.899506;0
220;1.45546;0
221;0.745696;0
222;1.12028;0
223;0.980169;0
224;0.699697;0
225;0.809154;0
226;0.813801;0
227;0.927346;0
228;1.16536;0
229;1.20786;0
230;0.96566;0
231;1.29769;0
232;1.26063;0
233;1.03891;0
234;1.71378;0
235;1.11215;0
236;0.718071;0
237;1.2189;0
238;0.863664;0
239;1.73417;0
240;0.90502;0
241;0.658223;0
242;1.37502;0
243;1.01342;0
244;0.967902;0
245;0.852652;0
246;0.852882;0
247;0.992849;0
248;1.14692;0
249;1.07889;0
250;1.23936;0
251;0.963728;0
252;1.2994;0
253;0.85382;0
254;1.05544;0
255;0.762105;0
256;1.06186;0
257;0.98057;0
258;1.22931;0
259;0.825398;0
260;0.861543;0
261;0.837409;0
262;0.80289;0
263;1.06538;0
264;1.01839;0
265;0.796452;0
266;1.47464;0
267;0.690377;0
268;1.05097;0
269;1.6591;0
270;0.980837;0
271;0.7581;0
272;0.741342;0
273;1.00754;0
274;1.33102;0
275;0.821943;0
276;0.907946;0
277;0.858657;0
278;1.14984;0
279;1.03986;0
280;0.844466;0
281;0.983929;0
282;1.14099;0
283;1.23091;0
284;1.07366;0
285;0.948467;0
286;1.42327;0
287;1.07149;0
288;1.14285;0
289;1.11552;0
290;0.857676;0
291;1.21596;0
292;1.30902;0
293;0.795489;0
294;1.04852;0
295;0.578964;0
296;0.919108;0
297;0.877916;0
298;0.969129;0
299;1.20541;0
300;1.3349;0
301;1.49441;0
302;0.826144;0
303;1.45899;0
304;1.34279;0
305;0.894205;0
306;1.05512;0
307;1.85061;0
308;0.89305;0
309;1.20983;0
310;1.13589;0
311;1.55964;0
312;1.01322;0
313;1.40401;0
314;1.65786;0
315;0.860987;0
316;0.645807;0
317;0.988291;0
318;1.07002;0
319;0.992262;0
320;1.37647;0
321;1.17348;0
322;1.34109;0
323;0.884251;0
324;1.08133;0
325;1.18268;0
326;1.01908;0
327;1.65275;0
328;1.07771;0
329;1.24404;0
330;1.48511;0
331;1.20338;0
332;1.14931;0
333;1.25684;0
334;1.07863;0
335;1.17012;0
336;1.47991;0
337;1.35697;0
338;1.15915;0
339;0.784881;0
340;0.832197;0
341;1.23142;0
342;1.22488;0
343;1.43786;0
344;0.966918;0
345;0.926194;0
346;1.0126;0
347;1.74436;0
348;1.25285;0
349;1.29289;0
350;0.749838;0
351;1.21966;0
352;0.81298;0
353;0.581073;0
354;0.952334;0
355;0.881211;0
356;0.839521;0
357;0.794578;0
358;1.00646;0
359;0.833911;0
360;0.904112;0
361;0.732728;0
362;0.7808;0
363;1.21352;0
364;1.25754;0
365;0.872649;0
366;0.773136;0
367;0.863929;0
368;0.702125;0
369;1.10965;0
370;1.07476;0
371;1.17573;0
372;1.26121;0
373;1.35454;0
374;1.04938;0
375;2.05684;0
376;1.13783;0
377;0.744066;0
378;0.780272;0
379;0.834355;0
380;0.978489;0
381;1.17987;0
382;1.69386;0
383;1.04815;0
384;0.828251;0
385;1.04211;0
386;1.09692;0
387;0.814058;0
388;1.18292;0
389;1.26281;0
390;1.32152;0
391;1.13085;0
392;0.794228;0
393;1.32733;0
394;0.957414;0
395;1.05541;0
396;0.874394;0
397;1.24078;0
398;0.983919;0
399;1.25309;0
400;1.09616;0
401;0.853926;0
402;0.963249;0
403;1.2375;0
404;1.18743;0
405;1.28696;0
406;0.965061;0
407;1.02796;0
408;1.61931;0
409;1.03291;0
410;1.239;0
411;0.877353;0
412;1.20293;0
413;0.806803;0
414;1.83672;0
415;1.02932;0
416;1.25078;0
417;1.01086;0
418;0.812375;0
419;1.03215;0
420;0.884766;0
421;1.02605;0
422;1.22986;0
423;1.31533;0
424;0.851914;0
425;0.926504;0
426;1.12896;0
427;1.39721;0
428;1.45963;0
429;1.04012;0
430;1.07889;0
431;1.08255;0
432;0.665651;0
433;0.655595;0
434;0.709596;0
435;1.2158;0
436;0.942376;0
437;1.38582;0
438;0.713657;0
439;0.901493;0
440;1.42849;0
441;1.39688;0
442;0.848669;0
443;0.918513;0
444;0.895139;0
445;0.967183;0
446;0.748796;0
447;1.07656;0
448;0.792218;0
449;0.948392;0
450;1.06027;0
451;0.951002;0
452;1.42907;0
453;0.787349;0
454;0.831144;0
455;1.32014;0
456;0.837747;0
457;0.816706;0
458;0.912708;0
459;0.547983;0
460;1.31964;0
461;1.28838;0
462;1.11729;0
463;1.26258;0
464;0.793631;0
465;1.35587;0
466;1.2128;0
467;1.44289;0
468;0.777229;0
469;1.40431;0
470;0.91322;0
471;1.39693;0
472;1.01696;0
473;1.01069;0
474;1.28698;0
475;1.24277;0
476;0.696884;0
477;0.90643;0
478;0.963401;0
479;1.44584;0
480;1.23932;0
481;1.92521;0
482;1.29118;0
483;1.23056;0
484;0.990277;0
485;0.947138;0
486;0.909384;0
487;0.872482;0
488;0.956105;0
489;0.869561;0
490;1.07918;0
491;1.29142;0
492;1.05421;0
493;0.914268;0
494;1.12739;0
495;1.13888;0
496;1.35712;0
497;1.12284;0
498;1.27467;0
499;0.948234;0
500;0.905828;0
501;1.54245;0
502;0.831416;0
503;1.15922;0
504;1.21662;0
505;1.22993;0
506;1.48869;0
507;1.20145;0
508;0.673534;0
509;0.898801;0
510;1.09404;0
511;0.998766;0
512;1.81684;0
513;0.872242;0
514;0.89662;0
515;0.993402;0
516;1.13607;0
517;0.923998;0
518;0.828599;0
519;0.69883;0
520;1.55563;0
521;0.942771;0
522;0.779995;0
523;1.56018;0
524;0.583986;0
525;0.678979;0
526;1.17653;0
527;1.01047;0
528;1.19393;0
529;1.32748;0
530;1.09048;0
531;2.07268;0
532;1.11421;0
533;1.42708;0
534;0.795842;0
535;1.48451;0
536;2.77962;0
537;0.95633;0
538;1.20698;0
539;1.05407;0
540;0.973595;0
541;0.96594;0
542;0.84628;0
543;0.686799;0
544;0.649339;0
545;1.28132;0
546;1.37066;0
547;1.27724;0
548;0.664792;0
549;1.08635;0
550;1.44706;0
551;1.39409;0
552;1.08433;0
553;0.960406;0
554;1.07249;0
555;1.01047;0
556;1.26476;0
557;0.776957;0
558;1.14772;0
559;0.987174;0
560;0.926723;0
561;0.907041;0
562;1.09507;0
563;1.24834;0
564;1.00609;0
565;1.11976;0
566;0.815368;0
567;0.829616;0
568;1.27779;0
569;0.885052;0
570;0.781211;0
