"number";"r IL_meas";"i IL_meas"
1;0.563243;0
2;0.44868;0
3;0.576308;0
4;0.625046;0
5;0.506666;0
6;0.485802;0
7;0.684581;0
8;0.558775;0
9;0.579952;0
10;0.571464;0
11;0.478267;0
12;0.545202;0
13;0.516665;0
14;0.542267;0
15;0.699275;0
16;0.452451;0
17;0.541779;0
18;0.687329;0
19;0.583826;0
20;0.481114;0
21;0.489846;0
22;0.653961;0
23;0.622867;0
24;0.480779;0
25;0.558099;0
26;0.481879;0
27;0.463079;0
28;0.505401;0
29;0.627765;0
30;0.581795;0
31;0.463928;0
32;0.717714;0
33;0.611967;0
34;0.536355;0
35;0.617258;0
36;0.604742;0
37;0.496442;0
38;0.491766;0
39;0.639895;0
40;0.583568;0
41;0.630531;0
42;0.608201;0
43;0.533665;0
44;0.646907;0
45;0.577255;0
46;0.520463;0
47;0.50032;0
48;0.437173;0
49;0.677381;0
50;0.51081;0
51;0.489661;0
52;0.52225;0
53;0.604223;0
54;0.482125;0
55;0.564745;0
56;0.662119;0
57;0.532961;0
58;0.583685;0
59;0.59457;0
60;0.520852;0
61;0.597624;0
62;0.355178;0
63;0.53552;0
64;0.598561;0
65;0.616353;0
66;0.482634;0
67;0.61264;0
68;0.557479;0
69;0.528394;0
70;0.485427;0
71;0.469429;0
72;0.617933;0
73;0.652346;0
74;0.628882;0
75;0.629236;0
76;0.666562;0
77;0.596133;0
78;0.575604;0
79;0.505676;0
80;0.480243;0
81;0.458251;0
82;0.581901;0
83;0.552947;0
84;0.494446;0
85;0.48789;0
86;0.459307;0
87;0.636563;0
88;0.541468;0
89;0.534778;0
90;0.513555;0
91;0.572035;0
92;0.503705;0
93;0.745467;0
94;0.561106;0
95;0.490565;0
96;0.684473;0
97;0.595355;0
98;0.558458;0
99;0.515099;0
100;0.644847;0
101;0.426405;0
102;0.452536;0
103;0.583297;0
104;0.623672;0
105;0.505486;0
106;0.642804;0
107;0.570677;0
108;0.515716;0
109;0.614759;0
110;0.497007;0
111;0.504062;0
112;0.655759;0
113;0.544265;0
114;0.412101;0
115;0.649517;0
116;0.57208;0
117;0.620984;0
118;0.634568;0
119;0.44261;0
120;0.482598;0
121;0.593778;0
122;0.583771;0
123;0.712015;0
124;0.435331;0
125;0.633576;0
126;0.768677;0
127;0.543115;0
128;0.530848;0
129;0.59281;0
130;0.454092;0
131;0.452248;0
132;0.532933;0
133;0.5501;0
134;0.508646;0
135;0.52894;0
136;0.513844;0
137;0.391001;0
138;0.554444;0
139;0.799218;0
140;0.612311;0
141;0.520064;0
142;0.593231;0
143;0.747745;0
144;0.782875;0
145;0.558738;0
146;0.514808;0
147;0.531844;0
148;0.479349;0
149;0.540229;0
150;0.612508;0
151;0.546114;0
152;0.538926;0
153;0.513877;0
154;0.607449;0
155;0.616288;0
156;0.506272;0
157;0.555606;0
158;0.552452;0
159;0.580947;0
160;0.4824;0
161;0.402487;0
162;0.50738;0
163;0.538912;0
164;0.633954;0
165;0.463156;0
166;0.429493;0
167;0.692548;0
168;0.55219;0
169;0.666011;0
170;0.463555;0
171;0.55617;0
172;0.565084;0
173;0.599172;0
174;0.603449;0
175;0.405977;0
176;0.607486;0
177;0.593025;0
178;0.705869;0
179;0.526932;0
180;0.504946;0
181;0.657213;0
182;0.584087;0
183;0.609812;0
184;0.455851;0
185;0.650074;0
186;0.58927;0
187;0.613635;0
188;0.501116;0
189;0.499508;0
190;0.505817;0
191;0.554011;0
192;0.6069;0
193;0.574958;0
194;0.546878;0
195;0.543081;0
196;0.505764;0
197;0.558467;0
198;0.524295;0
199;0.560045;0
200;0.589576;0
201;0.617982;0
202;0.586766;0
203;0.546191;0
204;0.595914;0
205;0.606634;0
206;0.497124;0
207;0.512934;0
208;0.457125;0
209;0.503244;0
210;0.503475;0
211;0.499365;0
212;0.635726;0
213;0.745567;0
214;0.672669;0
215;0.690492;0
216;0.491721;0
217;0.610297;0
218;0.594758;0
219;0.601586;0
220;0.594259;0
221;0.573691;0
222;0.663181;0
223;0.522614;0
224;0.552143;0
225;0.624734;0
226;0.522202;0
227;0.523946;0
228;0.607014;0
229;0.519171;0
230;0.488672;0
231;0.596292;0
232;0.656973;0
233;0.655849;0
234;0.589617;0
235;0.506657;0
236;0.61876;0
237;0.754108;0
238;0.54202;0
239;0.454215;0
240;0.623433;0
241;0.508707;0
242;0.535096;0
243;0.532431;0
244;0.510948;0
245;0.659054;0
246;0.448373;0
247;0.537158;0
248;0.63361;0
249;0.625649;0
250;0.664126;0
251;0.502942;0
252;0.575253;0
253;0.455217;0
254;0.655271;0
255;0.606296;0
256;0.738619;0
257;0.478498;0
258;0.560576;0
259;0.578157;0
260;0.568378;0
261;0.576435;0
262;0.493642;0
263;0.634288;0
264;0.687369;0
265;0.684114;0
266;0.593317;0
267;0.495296;0
268;0.591441;0
269;0.530458;0
270;0.54011;0
271;0.536874;0
272;0.67406;0
273;0.539912;0
274;0.524898;0
275;0.619646;0
276;0.631369;0
277;0.837939;0
278;0.569758;0
279;0.455497;0
280;0.615096;0
281;0.582117;0
282;0.479394;0
283;0.652932;0
284;0.612146;0
285;0.576608;0
286;0.705288;0
287;0.488109;0
288;0.410547;0
289;0.533968;0
290;0.694563;0
291;0.632192;0
292;0.566892;0
293;0.639615;0
294;0.592281;0
295;0.519661;0
296;0.53223;0
297;0.614072;0
298;0.652389;0
299;0.586115;0
300;0.555901;0
301;0.463462;0
302;0.533082;0
303;0.727066;0
304;0.630045;0
305;0.557511;0
306;0.485154;0
307;0.70583;0
308;0.536911;0
309;0.588779;0
310;0.561254;0
311;0.58537;0
312;0.515759;0
313;0.521987;0
314;0.78991;0
315;0.522515;0
316;0.636718;0
317;0.460023;0
318;0.683012;0
319;0.546976;0
320;0.601675;0
321;0.707913;0
322;0.665657;0
323;0.63171;0
324;0.452126;0
325;0.725209;0
326;0.540591;0
327;0.823723;0
328;0.685487;0
329;0.589441;0
330;0.587308;0
331;0.541148;0
332;0.538833;0
333;0.579847;0
334;0.599338;0
335;0.600707;0
336;0.622139;0
337;0.606805;0
338;0.509192;0
339;0.580081;0
340;0.611752;0
341;0.560912;0
342;0.604933;0
