"number";"r IL_meas";"i IL_meas"
1;1.19577;0
2;0.962776;0
3;1.23493;0
4;1.23895;0
5;1.2622;0
6;1.19483;0
7;1.27738;0
8;1.42426;0
9;1.21116;0
10;1.2033;0
11;1.18575;0
12;1.00663;0
13;1.03288;0
14;1.20411;0
15;1.22403;0
16;1.27841;0
17;1.29459;0
18;1.19293;0
19;1.24042;0
20;1.34757;0
21;1.28244;0
22;1.32002;0
23;1.30743;0
24;1.23784;0
25;1.45749;0
26;1.20923;0
27;1.10188;0
28;1.05094;0
29;1.21058;0
30;1.1543;0
31;1.11832;0
32;1.2992;0
33;1.17162;0
34;1.20021;0
35;1.1896;0
36;1.19108;0
37;1.2868;0
38;1.1053;0
39;1.15895;0
40;1.22365;0
41;1.38446;0
42;1.16311;0
43;1.1824;0
44;1.09614;0
45;1.33182;0
46;1.24296;0
47;1.03932;0
48;1.13255;0
49;1.31032;0
50;1.24597;0
51;1.09635;0
52;1.2513;0
53;1.2399;0
54;1.36571;0
55;1.21181;0
56;1.22721;0
57;1.01574;0
58;1.31211;0
59;1.22534;0
60;1.18052;0
61;1.23879;0
62;1.24551;0
63;1.18758;0
64;1.08928;0
65;1.21932;0
66;1.29159;0
67;1.12884;0
68;1.29408;0
69;0.952472;0
70;1.31587;0
71;1.24336;0
72;1.18288;0
73;1.25426;0
74;1.1261;0
75;1.33144;0
76;1.14722;0
77;1.08757;0
78;0.984818;0
79;1.14597;0
80;1.266;0
81;1.20649;0
82;1.31178;0
83;1.24169;0
84;1.22548;0
85;1.07226;0
86;1.09776;0
87;1.04778;0
88;1.19663;0
89;1.31946;0
90;1.20859;0
91;1.22939;0
92;1.1483;0
93;1.11503;0
94;1.49524;0
95;1.15947;0
96;1.17681;0
97;1.19547;0
98;1.20451;0
99;1.2403;0
100;1.34482;0
101;1.16491;0
102;1.19411;0
103;1.24892;0
104;1.07099;0
105;1.16287;0
106;1.3701;0
107;1.1917;0
108;1.05067;0
109;1.05774;0
110;1.01258;0
111;1.34367;0
112;1.25399;0
113;1.18904;0
114;1.20787;0
115;1.16069;0
116;1.25748;0
117;1.10615;0
118;1.25547;0
119;1.21396;0
120;1.13826;0
121;1.09951;0
122;1.16866;0
123;1.16143;0
124;1.30752;0
125;1.26243;0
126;1.07136;0
127;1.22598;0
128;1.23065;0
129;1.07528;0
130;1.07406;0
131;1.28886;0
132;1.3126;0
133;1.24206;0
134;1.16038;0
135;1.17082;0
136;1.16647;0
137;1.2289;0
138;1.16166;0
139;1.13112;0
140;1.08092;0
141;1.48226;0
142;1.05164;0
143;1.19857;0
144;1.05129;0
145;1.32396;0
146;1.26351;0
147;1.11805;0
148;1.35304;0
149;1.00355;0
150;1.06093;0
151;1.28474;0
152;1.22725;0
153;1.26079;0
154;1.12805;0
155;1.19179;0
156;1.28945;0
157;1.17578;0
158;1.25653;0
159;1.32638;0
160;1.40423;0
161;1.07093;0
162;1.22677;0
163;1.2823;0
164;1.22441;0
165;1.1183;0
166;1.31324;0
167;1.25466;0
168;1.15468;0
169;1.22441;0
170;1.27095;0
171;1.2545;0
172;1.25199;0
173;1.32194;0
174;1.4415;0
175;1.21154;0
176;1.2806;0
177;1.28637;0
178;1.19607;0
179;1.38325;0
180;1.33564;0
181;1.25846;0
182;1.15326;0
183;1.06931;0
184;1.07739;0
185;1.11694;0
186;1.14794;0
187;1.23963;0
188;1.11654;0
189;1.2051;0
190;1.29153;0
191;1.28796;0
192;1.1164;0
193;1.13415;0
194;1.15246;0
195;1.27057;0
196;1.17627;0
197;0.980092;0
198;1.44072;0
199;1.11761;0
200;1.07066;0
201;1.33831;0
202;1.22031;0
203;1.36427;0
204;1.10599;0
205;1.1342;0
206;1.15274;0
207;1.27906;0
208;1.09819;0
209;1.1684;0
210;1.19447;0
211;1.48131;0
212;1.34332;0
213;1.169;0
214;1.17322;0
215;1.26062;0
216;1.23058;0
217;0.960419;0
218;1.2302;0
219;1.36283;0
220;1.22531;0
221;1.13336;0
222;1.28;0
223;1.32342;0
224;1.26695;0
225;1.14732;0
226;1.17024;0
227;1.24319;0
228;1.34208;0
229;1.15683;0
230;1.15569;0
231;1.19491;0
232;1.23693;0
233;1.26543;0
234;1.16243;0
235;1.11234;0
236;1.16237;0
237;1.29106;0
238;1.33468;0
239;1.26504;0
240;1.30375;0
241;1.34729;0
242;1.39624;0
243;1.05909;0
244;1.22286;0
245;1.18695;0
246;1.09644;0
247;1.24769;0
248;1.21831;0
249;1.06041;0
250;1.36062;0
251;1.21462;0
252;1.23656;0
253;1.12107;0
254;1.08065;0
255;1.28269;0
256;1.17293;0
257;1.29188;0
258;1.17486;0
259;1.09472;0
260;1.07005;0
261;1.10778;0
262;1.3097;0
263;1.28981;0
264;1.21587;0
265;1.28083;0
266;1.30186;0
267;1.0875;0
268;1.18836;0
269;1.33007;0
270;1.29823;0
271;1.1728;0
272;1.18571;0
273;1.25093;0
274;1.18054;0
275;1.11055;0
276;1.32965;0
277;1.24635;0
278;1.18592;0
279;1.39834;0
280;1.12518;0
281;1.20336;0
282;1.22693;0
283;1.14464;0
284;1.07726;0
285;1.38327;0
286;1.20072;0
287;1.40243;0
288;1.24216;0
289;1.14543;0
290;1.13482;0
291;1.29605;0
292;1.21791;0
293;1.23502;0
294;1.13174;0
295;1.38458;0
296;1.19635;0
297;1.32025;0
298;1.47827;0
299;1.11476;0
300;1.26005;0
301;1.06639;0
302;1.23223;0
303;1.35976;0
304;1.26237;0
305;1.23347;0
306;1.10311;0
307;1.19184;0
308;1.26149;0
309;1.07878;0
310;1.15926;0
311;1.24129;0
312;1.11785;0
313;1.17689;0
314;1.20453;0
315;1.25563;0
316;1.13081;0
317;1.4014;0
318;1.24528;0
319;1.23242;0
320;1.23678;0
321;1.10592;0
322;1.21328;0
323;1.40135;0
324;1.20874;0
325;1.29479;0
326;1.19944;0
327;1.14062;0
328;1.15833;0
329;1.30303;0
330;0.956293;0
331;1.10838;0
332;1.1117;0
333;1.25519;0
334;1.2851;0
335;1.0481;0
336;1.43432;0
337;1.26939;0
338;1.41046;0
339;1.19614;0
340;1.12682;0
341;1.14583;0
