"x";"r (yvalue(ic.Ib, fs)/(x*Ut))/gm";"i (yvalue(ic.Ib, fs)/(x*Ut))/gm"
0.001;0.957091;5.29396e-17
0.0010233;0.957091;6.46678e-17
0.00104714;0.957091;6.31954e-17
0.00107154;0.957091;3.70539e-17
0.0010965;0.957091;8.44907e-17
0.00112205;0.957091;8.2567e-17
0.00114819;0.957091;3.45802e-17
0.00117494;0.957091;6.75857e-17
0.00120232;0.957091;7.70547e-17
0.00123033;0.957091;8.60575e-17
0.00125899;0.957091;7.35859e-17
0.00128833;0.957091;5.13646e-17
0.00131834;0.957091;7.02732e-17
0.00134906;0.957091;2.94314e-17
0.00138049;0.957091;7.66967e-17
0.00141265;0.957091;8.43193e-17
0.00144557;0.957091;9.1555e-18
0.00147925;0.957091;9.84175e-17
0.00151371;0.957091;6.12034e-17
0.00154898;0.957091;4.27213e-17
0.00158507;0.957091;5.84481e-17
0.001622;0.957091;5.71174e-17
0.00165979;0.957091;3.98692e-17
0.00169846;0.957091;3.89615e-17
0.00173803;0.957091;6.85339e-17
0.00177852;0.957091;5.20905e-17
0.00181996;0.957091;5.81766e-17
0.00186236;0.957091;4.97455e-17
0.00190576;0.957091;4.86129e-17
0.00195016;0.957091;2.03597e-17
0.00199559;0.957091;7.95847e-17
0.00204209;0.957091;1.03697e-16
0.00208966;0.957091;2.5334e-17
0.00213835;0.957091;6.1893e-17
0.00218817;0.957091;7.25805e-17
0.00223915;0.957091;4.72853e-17
0.00229132;0.957091;4.62087e-17
0.00234471;0.957091;4.51566e-17
0.00239934;0.957091;6.61928e-17
0.00245524;0.957091;5.39047e-17
0.00251244;0.957091;8.42839e-17
0.00257098;0.957091;6.17737e-17
0.00263088;0.957091;8.04896e-17
0.00269217;0.957091;6.88249e-17
0.0027549;0.957091;5.76496e-17
0.00281908;0.957091;8.45055e-17
0.00288476;0.957091;2.75272e-17
0.00295197;0.957091;8.07012e-17
0.00302075;0.95709;4.38132e-17
0.00309113;0.95709;5.9942e-17
0.00316315;0.95709;7.53135e-17
0.00323685;0.95709;6.54211e-17
0.00331226;0.95709;7.19231e-17
0.00338943;0.95709;7.02855e-17
0.0034684;0.95709;5.34219e-17
